Instance,#cols,#rows,D3X_Time,D3XZ_Time,D3X_Sols,D3XZ_Sols,ZDD_Size
grafo174.27.zdd,,,44.7850,,675,,
grafo175.23.zdd,,,51.2471,,650,,
grafo177.11.zdd,,,timeout,,,,
grafo179.35.zdd,,,timeout,,,,
grafo180.27.zdd,,,timeout,,,,
grafo183.28.zdd,,,timeout,,,,
grafo184.41.zdd,,,timeout,,,,
grafo188.23.zdd,,,1173.2546,,16250,,
grafo193.12.zdd,,,timeout,,,,
grafo194.23.zdd,,,76.6310,,1075,,
grafo196.30.zdd,,,938.6879,,16250,,
grafo197.15.zdd,,,26.1154,,841,,
grafo198.18.zdd,,,timeout,,,,
grafo211.14.zdd,,,timeout,,,,
grafo216.18.zdd,,,13.1152,,1075,,
grafo218.17.zdd,,,timeout,,,,
grafo220.13.zdd,,,timeout,,,,
grafo221.15.zdd,,,timeout,,,,
grafo229.13.zdd,,,timeout,,,,
grafo230.14.zdd,,,timeout,,,,
grafo233.11.zdd,,,timeout,,,,
grafo234.12.zdd,,,timeout,,,,
grafo236.15.zdd,,,358.7141,,6100,,
grafo237.16.zdd,,,timeout,,,,
grafo238.10.zdd,,,timeout,,,,
grafo242.14.zdd,,,timeout,,,,
grafo245.21.zdd,,,timeout,,,,
grafo246.11.zdd,,,timeout,,,,
grafo247.15.zdd,,,timeout,,,,
grafo249.22.zdd,,,timeout,,,,
grafo250.13.zdd,,,timeout,,,,
grafo259.12.zdd,,,645.0469,,16900,,
grafo263.11.zdd,,,timeout,,,,
grafo265.10.zdd,,,timeout,,,,
grafo268.15.zdd,,,timeout,,,,
grafo280.11.zdd,,,timeout,,,,
grafo281.14.zdd,,,timeout,,,,
grafo283.24.zdd,,,timeout,,,,
grafo284.28.zdd,,,22.7445,,625,,
grafo285.14.zdd,,,timeout,,,,
grafo287.19.zdd,,,timeout,,,,
grafo289.40.zdd,,,timeout,,,,
grafo292.16.zdd,,,timeout,,,,
grafo293.17.zdd,,,timeout,,,,
grafo295.15.zdd,,,timeout,,,,
grafo297.15.zdd,,,timeout,,,,
grafo299.19.zdd,,,timeout,,,,
grafo329.17.zdd,,,timeout,,,,
grafo331.15.zdd,,,timeout,,,,
grafo332.82.zdd,,,1305.0671,,31850,,
grafo336.21.zdd,,,22.6096,,675,,
grafo337.15.zdd,,,timeout,,,,
